,Id,Nome,EsportePai
181,181,"Canoeing Men's Canadian Doubles, 1,000 metres",Canoeing
182,182,"Canoeing Men's Canadian Doubles, 10,000 metres",Canoeing
183,183,"Canoeing Men's Canadian Doubles, 500 metres",Canoeing
184,184,"Canoeing Men's Canadian Doubles, Slalom",Canoeing
185,185,"Canoeing Men's Canadian Singles, 1,000 metres",Canoeing
186,186,"Canoeing Men's Canadian Singles, 10,000 metres",Canoeing
187,187,"Canoeing Men's Canadian Singles, 200 metres",Canoeing
188,188,"Canoeing Men's Canadian Singles, 500 metres",Canoeing
189,189,"Canoeing Men's Canadian Singles, Slalom",Canoeing
190,190,"Canoeing Men's Folding Kayak Doubles, 10 kilometres",Canoeing
191,191,"Canoeing Men's Folding Kayak Singles, 10 kilometres",Canoeing
192,192,"Canoeing Men's Kayak Doubles, 1,000 metres",Canoeing
193,193,"Canoeing Men's Kayak Doubles, 10,000 metres",Canoeing
194,194,"Canoeing Men's Kayak Doubles, 200 metres",Canoeing
195,195,"Canoeing Men's Kayak Doubles, 500 metres",Canoeing
196,196,"Canoeing Men's Kayak Fours, 1,000 metres",Canoeing
197,197,Canoeing Men's Kayak Relay 4 x 500 metres,Canoeing
198,198,"Canoeing Men's Kayak Singles, 1,000 metres",Canoeing
199,199,"Canoeing Men's Kayak Singles, 10,000 metres",Canoeing
200,200,"Canoeing Men's Kayak Singles, 200 metres",Canoeing
201,201,"Canoeing Men's Kayak Singles, 500 metres",Canoeing
202,202,"Canoeing Men's Kayak Singles, Slalom",Canoeing
203,203,"Canoeing Women's Kayak Doubles, 500 metres",Canoeing
204,204,"Canoeing Women's Kayak Fours, 500 metres",Canoeing
205,205,"Canoeing Women's Kayak Singles, 200 metres",Canoeing
206,206,"Canoeing Women's Kayak Singles, 500 metres",Canoeing
207,207,"Canoeing Women's Kayak Singles, Slalom",Canoeing
208,208,Cricket,-
209,209,Cricket Men's Cricket,Cricket
210,210,Croquet,-
211,211,Croquet Mixed Doubles,Croquet
212,212,"Croquet Mixed Singles, One Ball",Croquet
213,213,"Croquet Mixed Singles, Two Balls",Croquet
214,214,Cycling,-
215,215,Cycling Men's 1 mile,Cycling
216,216,"Cycling Men's 1,000 metres Time Trial",Cycling
217,217,Cycling Men's 1/2 mile,Cycling
218,218,Cycling Men's 1/3 mile,Cycling
219,219,Cycling Men's 1/4 mile,Cycling
220,220,"Cycling Men's 10,000 metres",Cycling
221,221,Cycling Men's 100 kilometres,Cycling
222,222,Cycling Men's 100 kilometres Team Time Trial,Cycling
223,223,Cycling Men's 12-Hours Race,Cycling
224,224,Cycling Men's 2 mile,Cycling
225,225,Cycling Men's 20 kilometres,Cycling
226,226,Cycling Men's 25 kilometres,Cycling
227,227,Cycling Men's 25 mile,Cycling
228,228,Cycling Men's 333 metres Time Trial,Cycling
229,229,Cycling Men's 5 mile,Cycling
230,230,"Cycling Men's 5,000 metres",Cycling
231,231,Cycling Men's 50 kilometres,Cycling
232,232,Cycling Men's BMX,Cycling
233,233,"Cycling Men's Individual Pursuit, 4,000 metres",Cycling
234,234,Cycling Men's Individual Time Trial,Cycling
235,235,Cycling Men's Keirin,Cycling
236,236,Cycling Men's Madison,Cycling
237,237,"Cycling Men's Mountainbike, Cross-Country",Cycling
238,238,Cycling Men's Omnium,Cycling
239,239,Cycling Men's Points Race,Cycling
240,240,"Cycling Men's Road Race, Individual",Cycling
241,241,"Cycling Men's Road Race, Team",Cycling
242,242,Cycling Men's Sprint,Cycling
243,243,"Cycling Men's Tandem Sprint, 2,000 metres",Cycling
244,244,"Cycling Men's Team Pursuit, 1,980 yards",Cycling
245,245,"Cycling Men's Team Pursuit, 4,000 metres",Cycling
246,246,Cycling Men's Team Sprint,Cycling
247,247,Cycling Women's 500 metres Time Trial,Cycling
248,248,Cycling Women's BMX,Cycling
249,249,"Cycling Women's Individual Pursuit, 3,000 metres",Cycling
250,250,Cycling Women's Individual Time Trial,Cycling
251,251,Cycling Women's Keirin,Cycling
252,252,"Cycling Women's Mountainbike, Cross-Country",Cycling
253,253,Cycling Women's Omnium,Cycling
254,254,Cycling Women's Points Race,Cycling
255,255,"Cycling Women's Road Race, Individual",Cycling
256,256,Cycling Women's Sprint,Cycling
257,257,Cycling Women's Team Pursuit,Cycling
258,258,Cycling Women's Team Sprint,Cycling
259,259,Diving,-
260,260,Diving Men's Plain High,Diving
261,261,Diving Men's Platform,Diving
262,262,Diving Men's Springboard,Diving
263,263,Diving Men's Synchronized Platform,Diving
264,264,Diving Men's Synchronized Springboard,Diving
265,265,Diving Women's Plain High,Diving
266,266,Diving Women's Platform,Diving
267,267,Diving Women's Springboard,Diving
268,268,Diving Women's Synchronized Platform,Diving
269,269,Diving Women's Synchronized Springboard,Diving
270,270,Equestrianism,-
271,271,"Equestrianism Men's Dressage, Individual",Equestrianism
272,272,"Equestrianism Men's Dressage, Team",Equestrianism
273,273,"Equestrianism Men's Jumping, Individual",Equestrianism
274,274,"Equestrianism Men's Jumping, Team",Equestrianism
275,275,"Equestrianism Men's Three-Day Event, Individual",Equestrianism
276,276,"Equestrianism Men's Three-Day Event, Team",Equestrianism
