,IdModalidade,AnoEdicao,Ouro,Prata,Bronze
288,288,2020,ROC,MKD,KOR
289,289,2020,-,-,TUR
290,290,2020,-,GBR,TUR
291,291,2020,ITA,-,ROC
292,292,2020,ROC,-,EGY
293,293,2020,CZE,SUI,BRA
294,294,2020,ROC,ROC,AUS
295,295,2020,-,ROC,-
296,296,2020,SUI,CZE,UKR
297,297,2020,CRO,CRO,NZL
298,298,2020,CHN,CHN,GBR
299,299,2020,-,CHN,-
300,300,2020,NOR,GBR,-
301,301,2020,BER,GBR,USA
302,302,2020,GBR,USA,FRA
303,303,2020,USA,BRA,SRB
304,304,2020,FRA,ROC,ARG
305,305,2020,USA,ESP,HUN
306,306,2020,SRB,GRE,HUN
307,307,2020,-,VEN,INA
308,308,2020,-,-,GEO
309,309,2020,CHN,ECU,-
310,310,2020,-,GBR,-
311,311,2020,-,COL,-
312,312,2020,TPE,TKM,JPN
313,313,2020,UZB,ARM,LAT
314,314,2020,CHN,DOM,-
315,315,2020,CHN,INA,KAZ
316,316,2020,PHI,CHN,KAZ
317,317,2020,CAN,ITA,TPE
318,318,2020,CHN,-,INA
319,319,2020,ECU,USA,MEX
320,320,2020,GEO,IRI,SYR
321,321,2020,-,USA,TUR
322,322,2020,-,KGZ,AZE
323,323,2020,ROC,USA,ITA
324,324,2020,JPN,AZE,IND
325,325,2020,USA,-,SMR
326,326,2020,-,GEO,TUR
327,327,2020,IRI,UKR,EGY
328,328,2020,CUB,GEO,TUR
329,329,2020,JPN,KGZ,UKR
330,330,2020,ROC,ARM,POL
331,331,2020,ROC,BLR,UZB
332,332,2020,-,HUN,SRB
333,333,2020,-,NGR,UKR
334,334,2020,JPN,CHN,MGL
335,335,2020,JPN,CHN,USA
336,336,2020,JPN,BLR,USA
337,337,2020,ROC,IND,USA
338,338,2020,CUB,JPN,ROC
