,Ano,Cidade,NumerodaEdicao,TotaldeAtletas,Mascote
0,2000,Sydney,27,10639,"Olly, Syd e Millie"
1,2004,Athina,28,10537,Athena e Phevos
2,2008,Beijing,29,10880,"Beibei, Jingjing, Huanhuan, Yingying e Nini"
3,2012,London,30,10502,Wenlock
4,2016,Rio de Janeiro,31,11174,Vinícius
